[11:32:33] REPEAT FULL-START STRESS (teacher-judged)
[11:33:34]   !! [FAIL 0.0] full -> lite #7: 'tzip full activated' — The model confirmed the previous mode ('tzip full') instead of the requested new mode ('tzip lite').
[11:40:13]   [ok ] B-repeat full -> lite #5: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> lite #6: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [!! ] B-repeat full -> lite #7: 'tzip full activated' (FAIL 0.0)
[11:40:13]   [!! ] B-repeat full -> lite #8: 'tzip full activated' (FAIL 0.0)
[11:40:13]   [ok ] B-repeat full -> lite #9: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> lite #10: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #1: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #2: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #3: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #4: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #5: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #6: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #7: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #8: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #9: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> ultra #10: 'tzip ultra activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #1: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #2: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #3: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #4: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #5: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #6: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #7: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #8: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #9: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> off #10: 'tzip deactivated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #1: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #2: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #3: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #4: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #5: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #6: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #7: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #8: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #9: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat on -> full #10: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #1: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #2: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #3: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #4: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #5: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #6: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #7: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #8: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #9: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat lite -> full #10: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #1: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #2: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #3: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #4: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #5: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #6: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #7: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #8: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #9: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat ultra -> full #10: 'tzip full activated' (PASS 1.0)
